#Seq_id        Length(bp)     Circularity    Closely_related_species
NODE_1120      1691           no             Not found           
NODE_1133      1678           no             Not found           
NODE_1135      1677           no             Not found           
NODE_1141      1671           no             Not found           
NODE_1152      1660           no             Not found           
NODE_1157      1653           no             Not found           
NODE_1165      1644           no             Not found           
NODE_1180      1631           no             Not found           
NODE_1188      1616           no             Not found           
NODE_1199      1607           no             Not found           
NODE_1207      1600           no             Not found           
NODE_1220      1588           no             Not found           
NODE_1256      1563           no             Not found           
NODE_1279      1546           no             Not found           
NODE_1292      1535           no             Not found           
NODE_1296      1531           no             Not found           
NODE_1332      1503           no             Not found           
NODE_1342      1495           no             Not found           
NODE_1353      1484           no             Not found           
NODE_1365      1473           no             Not found           
NODE_1368      1470           no             Not found           
NODE_1382      1459           no             Not found           
NODE_1398      1452           no             Not found           
NODE_1402      1448           no             Not found           
NODE_1415      1441           no             Not found           
NODE_1418      1439           no             Not found           
NODE_1419      1438           no             Not found           
NODE_1456      1407           no             Not found           
NODE_1481      1388           no             Not found           
NODE_1497      1377           no             Not found           
NODE_1506      1373           no             Not found           
NODE_1577      1324           no             Not found           
NODE_1578      1323           no             Not found           
NODE_1581      1322           no             Not found           
NODE_1587      1319           no             Not found           
NODE_1611      1306           no             Not found           
NODE_1633      1292           no             Not found           
NODE_1708      1245           no             Not found           
NODE_1723      1239           no             Not found           
NODE_1762      1217           no             Not found           
NODE_1792      1204           no             Not found           
NODE_1804      1199           no             Not found           
NODE_1813      1196           no             Not found           
NODE_1816      1195           no             Not found           
NODE_1825      1190           no             Not found           
NODE_1828      1187           no             Not found           
NODE_1833      1184           no             Not found           
NODE_1870      1170           no             Not found           
NODE_1883      1166           no             Not found           
NODE_1905      1156           no             Not found           
NODE_1906      1156           no             Not found           
NODE_1912      1154           no             Not found           
NODE_1918      1152           no             Not found           
NODE_1953      1135           no             Not found           
NODE_1968      1130           no             Not found           
NODE_1983      1126           no             Not found           
NODE_1994      1121           no             Not found           
NODE_2026      1110           no             Not found           
NODE_2039      1106           no             Not found           
NODE_2045      1104           no             Not found           
NODE_2074      1094           no             Not found           
NODE_2089      1090           no             Not found           
NODE_2128      1073           no             Not found           
NODE_2147      1065           no             Not found           
NODE_2158      1062           no             Not found           
NODE_2163      1059           no             Not found           
NODE_2177      1052           no             Not found           
NODE_2201      1043           no             Not found           
NODE_2216      1038           no             Not found           
NODE_2220      1037           no             Not found           
NODE_2257      1022           no             Not found           
NODE_2271      1018           no             Not found           
NODE_2304      1008           no             Not found           
NODE_2323      1001           no             Not found           


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
NODE_6         175    1915   1741       -          CDS    ND5        NADH dehydrogenase subunit 5      1              
NODE_6         1987   3325   1339       -          CDS    ND4        NADH dehydrogenase subunit 4      1              
NODE_6         3318   3600   283        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
NODE_6         3735   4239   505        +          CDS    ND6        NADH dehydrogenase subunit 6      1              
NODE_6         4239   5379   1141       +          CDS    CYTB       cytochrome b                      1              
NODE_6         5469   6402   934        -          CDS    ND1        NADH dehydrogenase subunit 1      1              
NODE_6         6429   7799   1371       -          rRNA   l-rRNA     16S ribosomal RNA                 1              
NODE_6         7859   8674   816        -          rRNA   s-rRNA     12S ribosomal RNA                 1              
NODE_6         9522   10551  1030       +          CDS    ND2        NADH dehydrogenase subunit 2      1              
NODE_6         10764  12306  1543       +          CDS    COX1       cytochrome c oxidase subunit I    1              
NODE_6         12374  13061  688        +          CDS    COX2       cytochrome c oxidase subunit II   1              
NODE_6         13271  13430  160        +          CDS    ATP8       ATP synthase F0 subunit 8         1              
NODE_6         13423  14104  682        +          CDS    ATP6       ATP synthase F0 subunit 6         1              
NODE_6         14103  14891  789        +          CDS    COX3       cytochrome c oxidase subunit III  1              
NODE_6         14954  15308  355        +          CDS    ND3        NADH dehydrogenase subunit 3      1              


Protein coding genes totally found: 13
tRNA genes totally found:            0
rRNA genes totally found:            2
--------------------------------------
Genes totally found:                15


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

If you got the mitochondrial genome using the `findmitoscaf`
or `assemble` module of MitoZ, the missing genes might be
found from the '*.high_abundance*' and '*.low_abundance*' files
in the 'tmp' directory!
