#Seq_id        Length(bp)     Circularity    Closely_related_species
NODE_842       2151           no             Not found           
NODE_864       2120           no             Not found           
NODE_874       2108           no             Not found           
NODE_880       2096           no             Not found           
NODE_914       2039           no             Not found           
NODE_918       2031           no             Not found           
NODE_935       1990           no             Not found           
NODE_947       1956           no             Not found           
NODE_952       1943           no             Not found           
NODE_959       1931           no             Not found           
NODE_983       1909           no             Not found           
NODE_993       1886           no             Not found           
NODE_1002      1883           no             Not found           
NODE_1003      1883           no             Not found           
NODE_1021      1856           no             Not found           
NODE_1025      1855           no             Not found           
NODE_1026      1854           no             Not found           
NODE_1030      1851           no             Not found           
NODE_1044      1821           no             Not found           
NODE_1050      1809           no             Not found           
NODE_1073      1780           no             Not found           
NODE_1087      1763           no             Not found           
NODE_1128      1722           no             Not found           
NODE_1141      1711           no             Not found           
NODE_1153      1695           no             Not found           
NODE_1203      1628           no             Not found           
NODE_1216      1603           no             Not found           
NODE_1220      1600           no             Not found           
NODE_1252      1567           no             Not found           
NODE_1256      1563           no             Not found           
NODE_1270      1551           no             Not found           
NODE_1271      1551           no             Not found           
NODE_1293      1537           no             Not found           
NODE_1296      1534           no             Not found           
NODE_1298      1531           no             Not found           
NODE_1348      1500           no             Not found           
NODE_1350      1498           no             Not found           
NODE_1362      1491           no             Not found           
NODE_1365      1487           no             Not found           
NODE_1372      1483           no             Not found           
NODE_1377      1481           no             Not found           
NODE_1392      1468           no             Not found           
NODE_1393      1468           no             Not found           
NODE_1422      1443           no             Not found           
NODE_1442      1435           no             Not found           
NODE_1452      1428           no             Not found           
NODE_1466      1417           no             Not found           
NODE_1468      1415           no             Not found           
NODE_1469      1415           no             Not found           
NODE_1493      1398           no             Not found           
NODE_1500      1392           no             Not found           
NODE_1502      1391           no             Not found           
NODE_1511      1385           no             Not found           
NODE_1538      1369           no             Not found           
NODE_1563      1361           no             Not found           
NODE_1582      1349           no             Not found           
NODE_1611      1334           no             Not found           
NODE_1619      1329           no             Not found           
NODE_1620      1329           no             Not found           
NODE_1638      1322           no             Not found           
NODE_1651      1315           no             Not found           
NODE_1685      1293           no             Not found           
NODE_1686      1293           no             Not found           
NODE_1688      1292           no             Not found           
NODE_1696      1283           no             Not found           
NODE_1700      1282           no             Not found           
NODE_1717      1271           no             Not found           
NODE_1732      1260           no             Not found           
NODE_1741      1255           no             Not found           
NODE_1758      1242           no             Not found           
NODE_1760      1241           no             Not found           
NODE_1761      1240           no             Not found           
NODE_1762      1240           no             Not found           
NODE_1769      1237           no             Not found           
NODE_1773      1235           no             Not found           
NODE_1777      1234           no             Not found           
NODE_1778      1234           no             Not found           
NODE_1813      1213           no             Not found           
NODE_1824      1207           no             Not found           
NODE_1841      1200           no             Not found           
NODE_1846      1198           no             Not found           
NODE_1850      1197           no             Not found           
NODE_1852      1196           no             Not found           
NODE_1855      1195           no             Not found           
NODE_1879      1181           no             Not found           
NODE_1880      1181           no             Not found           
NODE_1888      1178           no             Not found           
NODE_1898      1175           no             Not found           
NODE_1940      1157           no             Not found           
NODE_1947      1153           no             Not found           
NODE_1959      1148           no             Not found           
NODE_1978      1141           no             Not found           
NODE_2019      1129           no             Not found           
NODE_2039      1120           no             Not found           
NODE_2044      1118           no             Not found           
NODE_2052      1113           no             Not found           
NODE_2062      1109           no             Not found           
NODE_2068      1107           no             Not found           
NODE_2073      1105           no             Not found           
NODE_2098      1097           no             Not found           
NODE_2105      1094           no             Not found           
NODE_2110      1093           no             Not found           
NODE_2113      1092           no             Not found           
NODE_2122      1088           no             Not found           
NODE_2125      1087           no             Not found           
NODE_2136      1085           no             Not found           
NODE_2139      1084           no             Not found           
NODE_2149      1082           no             Not found           
NODE_2175      1074           no             Not found           
NODE_2213      1059           no             Not found           
NODE_2223      1056           no             Not found           
NODE_2232      1054           no             Not found           
NODE_2259      1044           no             Not found           
NODE_2336      1020           no             Not found           
NODE_2356      1012           no             Not found           
NODE_2365      1008           no             Not found           
NODE_2374      1005           no             Not found           
NODE_2389      1001           no             Not found           


#Seq_id        Start  End    Length(bp) Direction  Type   Gene_name  Gene_prodcut                      Total_freq_occurred
--------------------------------------------------------------------------------------------------------------------------
NODE_5         783    1812   1030       +          CDS    ND2        NADH dehydrogenase subunit 2      1              
NODE_5         2048   3608   1561       +          CDS    COX1       cytochrome c oxidase subunit I    1              
NODE_5         3698   4385   688        +          CDS    COX2       cytochrome c oxidase subunit II   1              
NODE_5         4561   4720   160        +          CDS    ATP8       ATP synthase F0 subunit 8         1              
NODE_5         4713   5394   682        +          CDS    ATP6       ATP synthase F0 subunit 6         1              
NODE_5         5393   6181   789        +          CDS    COX3       cytochrome c oxidase subunit III  1              
NODE_5         6243   6597   355        +          CDS    ND3        NADH dehydrogenase subunit 3      1              
NODE_5         6995   8741   1747       -          CDS    ND5        NADH dehydrogenase subunit 5      1              
NODE_5         8815   10153  1339       -          CDS    ND4        NADH dehydrogenase subunit 4      1              
NODE_5         10146  10428  283        -          CDS    ND4L       NADH dehydrogenase subunit 4L     1              
NODE_5         10559  11063  505        +          CDS    ND6        NADH dehydrogenase subunit 6      1              
NODE_5         11062  12199  1138       +          CDS    CYTB       cytochrome b                      1              
NODE_5         12297  13233  937        -          CDS    ND1        NADH dehydrogenase subunit 1      1              
NODE_5         13260  14633  1374       -          rRNA   l-rRNA     16S ribosomal RNA                 1              
NODE_5         14697  15489  793        -          rRNA   s-rRNA     12S ribosomal RNA                 1              


Protein coding genes totally found: 13
tRNA genes totally found:            0
rRNA genes totally found:            2
--------------------------------------
Genes totally found:                15


Potential missing genes:
#Gene             total_missing_number
--------------------------------------
tRNA-Ala                             1
tRNA-Arg                             1
tRNA-Asn                             1
tRNA-Asp                             1
tRNA-Cys                             1
tRNA-Gln                             1
tRNA-Glu                             1
tRNA-Gly                             1
tRNA-His                             1
tRNA-Ile                             1
tRNA-Leu                             2
tRNA-Lys                             1
tRNA-Met                             1
tRNA-Phe                             1
tRNA-Pro                             1
tRNA-Ser                             2
tRNA-Thr                             1
tRNA-Trp                             1
tRNA-Tyr                             1
tRNA-Val                             1

If you got the mitochondrial genome using the `findmitoscaf`
or `assemble` module of MitoZ, the missing genes might be
found from the '*.high_abundance*' and '*.low_abundance*' files
in the 'tmp' directory!
