Species,AN,Sizebp,Family,Subfamily,Complete_genome,GenBank
Otomantis_scutigera,NC_086621.1,15619bp,Hymenopodidae,Acromantinae,x,
Tenodera_aridifolia_brevicollis,OK542393.1,15371bp,Mantidae,Tenoderinae,x,
Hierodula_sp._2,MW357298.1,16748bp,Mantidae,Hierodulinae,x,
Hierodula_sp.,OL414959.1,15982bp,Mantidae,Hierodulinae,x,
Majangella_moultoni,PP072306.1,15623bp,Hymenopodidae,Acromantinae,x,
Cheddikulama_straminea,NC_077479.1,16236bp,Toxoderidae,Toxoderinae,x,
Carrikerella_sp.,OM910847.1,16054bp,Thespidae,Oligonicinae,x,
Amorphoscelis_hainana,NC_057070.1,15792bp,Hymenopodidae,Acromantinae,x,
Pseudacanthops_lobipes,PV564197.1,15385bp,Acanthopidae,Acanthopinae,x,
Chlidonoptera_lestoni,PP438767.1,15722bp,Hymenopodidae,Hymenopodinae,x,
Ceratomantis_yunnanensis,PP438766.1,15920bp,Hymenopodidae,Oxypilinae,UNVERIFIED,
Astyliasula_major,NC_086830.1,15491bp,Hymenopodidae,Oxypilinae,x,
Astyliasula_basinigra,PP438763.1,15643bp,Hymenopodidae,Oxypilinae,UNVERIFIED,
Theopompa_maculosa,NC_086832.1,16353bp,Gonypetidae,Gonypetinae,x,
Gonypeta_brunneri,NC_086831.1,15484bp,Gonypetidae,Gonypetinae,x,
Arria_pura,NC_086829.1,16319bp,Haaniidae,Haaniinae,x,
Arria_brevifrons,NC_086828.1,15880bp,Haaniidae,Haaniinae,x,
Theopompa_ophthalmica,NC_086827.1,16215bp,Gonypetidae,Gonypetinae,x,
Anaxarcha_tianmushanensis,NC_086826.1,15577bp,Hymenopodidae,Acromantinae,x,
Phyllothelys_sinensis,NC_086824.1,15453bp,Hymenopodidae,Phyllothelyinae,x,
Theopropus_sinecus,NC_086823.1,16023bp,Hymenopodidae,Hymenopodinae,x,
Amantis_wuzhishana,NC_086818.1,15700bp,Gonypetidae,Iridopteryginae,x,
Tenodera_sp.,OM202552.1,14776bp,Mantidae,Tenoderinae,PARTIAL,
Gonypeta_sp.,OM177664.1,15475bp,Gonypetidae,Gonypetinae,x,
Acromantis_japonica,OM202568.1,15573bp,Hymenopodidae,Acromantinae,x,
Theopropus_sp.,OM202564.1,15482bp,Hymenopodidae,Hymenopodinae,x,
Miromantis_sp.,OM202562.1,15186bp,Nanomantidae,Tropidomantinae,x,
Sinomiopteryx_sp.,OM202561.1,15739bp,Thespidae,Pseudomiopteriginae,x,
Anaxarcha_graminea,OM202555.1,15941bp,Hymenopodidae,Acromantinae,x,
Anaxarcha_sp.,OM202554.1,15956bp,Hymenopodidae,Acromantinae,x,
Callibia_diana,NC_077476.1,15820bp,Acanthopidae,Acontistinae,x,
Haania_vitalisi,KX434845.1,13628bp,Haaniidae,Haaniinae,PARTIAL,
Metallyticus_sp.,KX434871.1,15491bp,Metallyticidae,,x,
Parymenopus_davisoni,KX434870.1,15588bp,Hymenopodidae,Hymenopodinae,x,
Hierodula_longa,OK542392.1,16603bp,Mantidae,Hierodulinae,x,
Phyllothelys_shaanxiense,KR091863.1,15586bp,Hymenopodidae,Phyllothelyinae,x,
Mantis_religiosa,NC_030265.1,15534bp,Mantidae,Mantinae,x,KU201317
Hierodula_patellifera,NC_034283.1,16999bp,Mantidae,Hierodulinae,x,KX611803
Sphodromantis_lineola,NC_037204.1,15474bp,Mantidae,Tenoderinae,x,KY689123
Statilia_maculata,NC_065760.1,15746bp,Mantidae,Mantinae,x,OK542390
Leptomantella_tonkinae,OK480879.1,15527bp,Leptomantellidae, ,x

