Species	GenBank	AN	Sizebp	Family	Subfamily	Complete_genome		
Orthodera_ministralis	KX434842	KX434842	15756bp	Mantidae	Orthoderinae	x		
Statilia_sp.	OL414957	OL414957	15451bp	Mantidae	Mantinae	x		
Statilia_sp.	KU201316	KU201316	16294bp	Mantidae	Mantinae	x		
Pseudovates_chlorophaea_(Phyllovates)	KX434838	KX434838	16253bp	Mantidae	Vatinae	x		
Tarachomantis_alaotrana	KX434862	KX434862	15459bp	Mantidae	Tenoderinae	x		
Sphodromantis_viridis	KX434840	KX434840	15504bp	Mantidae	Tenoderinae	x		
Polyspilota_griffinii	KX434863	KX434863	14403bp	Mantidae	Tenoderinae	x		
Plistospilota_sp.	KX434821	KX434821	15565bp	Mantidae	Tenoderinae	x		
Prohierodula_picta	KX434855	KX434855	15565bp	Mantidae	Tenoderinae	x		
Prohierodula_sp.	KX434868	KX434868	15567bp	Mantidae	Tenoderinae	x		
Camelomantis_moultoni	KX434812	KX434812	14839bp	Mantidae	Hierodulinae	PARTIAL		
Hierodula_majuscula	KX434819	KX434819	16000bp	Mantidae	Hierodulinae	x		
Rhombodera_sp.	KX619654	KX619654	15910bp	Mantidae	Hierodulinae	x		
Mesopteryx_alata	KX434813	KX434813	18075bp	Mantidae	Tenoderinae	x		
Mesopteryx_alata	MW357300	MW357300	18074bp	Mantidae	Tenoderinae	x		
Pnigomantis_medioconstricta	KX434851	KX434851	15987bp	Mantidae	Hierodulinae	x		
Hierodula_multispina	KX434830	KX434830	16282bp	Mantidae	Hierodulinae	x		
Blepharopsis_mendica	KX434828	KX434828	15628bp	Empusidae	Blepharodinae	x		
Idolomantis_diabolica	KX434864	KX434864	15678bp	Empusidae	Blepharodinae	x		
Idolomorpha_lateralis	KX434824	KX434824	15604bp	Empusidae	Empusinae	x		
Gongylus_gongylodes	KX434815	KX434815	15348bp	Empusidae	Empusinae	x		
Empusa_pennicornis	KX434825	KX434825	15484bp	Empusidae	Empusinae	x		
Phyllothelys_sp.	KY689119	KY689119	16467bp	Hymenopodidae	Phyllothelyinae	x		
Phyllothelys_werneri		NC086825	15465bp	Hymenopodidae	Phyllothelyinae	x		
Otomantis_sp.	KX434856	KX434856	14416bp	Hymenopodidae	Acromantinae	x		
Ceratomantis_saussurii	KX091850	KX091850	15664bp	Hymenopodidae	Oxypilinae	x		
Pachymantis_bicingulata		NC069811	16933bp	Hymenopodidae	Oxypilinae	x		
Hestiasula_sp.	KX091855	KX091855	15999bp	Hymenopodidae	Acromantinae	x		
Hestiasula_hoffmanni	KX434859	KX434859	16022bp	Hymenopodidae	Acromantinae	x		
Psychomantis_borneensis		NC045876	15493bp	Hymenopodidae	Acromantinae	x		
Popa_spurca_spurca_(Ambivia_undata)	KY689128	KY689128	15684bp	Mantidae	Vatinae	x		
Acromantis_hesione		NC086817	15519bp	Hymenopodidae	Acromantinae	x		
Citharomantis_falcata		NC069809	16058bp	Hymenopodidae	Acromantinae	x		
Sibylla_pretiosa		NC037235	15829bp	Hymenopodidae	Sibyllinae	x_		
Phyllocrania_paradoxa		NC086795	15550bp	Hymenopodidae	Phyllocraniinae	x		
Anaxarcha_sinensis		NC086822	15562bp	Hymenopodidae	Acromantinae	x		
Anaxarcha_zhengi		NC030268	16620bp	Hymenopodidae	Acromantinae	x		
Odontomantis_sp.		PP072307	15526bp	Hymenopodidae	Acromantinae	x		
Pseudocreobotra_wahlbergii		KX434811	14816bp	Hymenopodidae	Hymenopodinae	x		
Hymenopus_coronatus		KX434861	15677bp	Hymenopodidae	Hymenopodinae	x		
Theopropus_rubrobrunneus		KX434818	15577bp	Hymenopodidae	Hymenopodinae	x		
Theopropus_cattulus		KX434829	15684bp	Hymenopodidae	Hymenopodinae	x		
Theopropus_elegans		KY689125	15660bp	Hymenopodidae	Hymenopodinae	UNVERIFIED		
Creobroter_apicalis		KX434867	15603bp	Hymenopodidae	Hymenopodinae	x		
Creobroter__gemmatus		NC030267	15716bp	Hymenopodidae	Hymenopodinae	x		
Creobroter_jiangxiensis		NC037234	15801bp	Hymenopodidae	Hymenopodinae	x		
Haania_sp.		KY689130	14810bp	Haaniidae	Haaniinae	PARTIAL		
Arria_pallida		NC051892	16240bp	Haaniidae	Haaniinae	x		
Arria_pallida		OM202563	16056bp	Haaniidae	Haaniinae	x		
Theopompa_sp._		KU201314	16431bp	Gonypetidae	Gonypetinae	x		
Pliacanthopus_bimaculatus		NC051490	15941bp	Nanomantidae	Tropidomantinae	x		
Bolivaria_brachyptera		OZ336339	15478bp	Mantidae	Miomantinae	ASSEMBLY		
Yersinia_mexicana		MW357303	16193bp	Amelidae	Amelinae		x		
Paratoxodera_polyacantha		NC037697	15999bp	Toxoderidae	Toxoderinae	x		
Galinthias_amoena		NC077478	15461bp	Hymenopodidae	Hymenopodinae	x		
Asiadodis_yunnanensis		MW357297	15527bp	Mantidae	Choeradodinae			
Hierodulella_sp._		KY689136	15477bp	Mantidae	Hierodulinae	x		
Pseudovates_peruviana		MW357301	15690bp	Manridae	Vatinae	PARTIAL		
Stagmatoptera_biocellata		MW357302	16366bp	Mantidae	Stagmatopterinae	x		
Mekongomantis_quinquespinosa		MN267041	15388bp	Mantidae	Hierodulinae	UNVERIFIED		
Rhombodera_latipronotum		KX091864	15543bp	Mantidae	Hierodulinae	PARTIAL		
Creobroter_elongata		KX091851	15578bp	Hymenopodidae	Hymenopodinae	x		
Parablepharis_kuhlii		KY689117	16130bp	Hymenopodidae	Phyllothelyinae	x		
Phyllothelys_breve		NC086622	15456bp	Hymenopodidae	Phyllothelyinae	x		
Phyllothelys_breve		MT024239	15896bp	Hymenopodidae	Phyllothelyinae	x		
Raptrix_fusca		NC077477	15439bp	Acanthopidae	Acontiothespinae	x		
Leptomantella_sp.		OM202571	15525bp	Leptomantellidae		x		
Creobroter_sp.		MW222469	15736bp	Hymenopodidae	Hymenopodinae	x		
Panurgica_fraterculata		PP438770	15874bp	Hymenopodidae	Hymenopodinae	UNVERIFIED		
Ceratocrania_macra		PP438765	16012bp	Hymenopodidae	Phyllothelyinae	UNVERIFIED		
Otomantis_scutigera		NC086621	15619bp	Hymenopodidae	Acromantinae	x		
Tenodera_aridifolia_brevicollis		OK542393	15371bp	Mantidae	Tenoderinae	x		
Hierodula_sp.		MW357298	16748bp	Mantidae	Hierodulinae	x		
Hierodula_sp.		OL414959	15982bp	Mantidae	Hierodulinae	x		
Majangella_moultoni		PP072306	15623bp	Hymenopodidae	Acromantinae	x		
Cheddikulama_straminea		NC077479	16236bp	Toxoderidae	Toxoderinae	x		
Carrikerella_sp.		OM910847	16054bp	Thespidae	Oligonicinae	x		
Amorphoscelis_hainana		NC057070	15792bp	Hymenopodidae	Acromantinae	x		
Pseudacanthops_lobipes		PV564197	15385bp	Acanthopidae	Acanthopinae	x		
Chlidonoptera_lestoni		PP438767	15722bp	Hymenopodidae	Hymenopodinae	x		
Ceratomantis_yunnanensis		PP438766	15920bp	Hymenopodidae	Oxypilinae	UNVERIFIED		
Astyliasula_major		NC086830	15491bp	Hymenopodidae	Oxypilinae	x		
Astyliasula_basinigra		PP438763	15643bp	Hymenopodidae	Oxypilinae	UNVERIFIED		
Theopompa_maculosa		NC086832	16353bp	Gonypetidae	Gonypetinae	x		
Gonypeta_brunneri		NC086831	15484bp	Gonypetidae	Gonypetinae	x		
Arria_pura		NC086829	16319bp	Haaniidae	Haaniinae	x		
Arria_brevifrons		NC086828	15880bp	Haaniidae	Haaniinae	x		
Theopompa_ophthalmica		NC086827	16215bp	Gonypetidae	Gonypetinae	x		
Anaxarcha_tianmushanensis		NC086826	15577bp	Hymenopodidae	Acromantinae	x		
Phyllothelys_sinensis		NC086824	15453bp	Hymenopodidae	Phyllothelyinae	x		
Theopropus_sinecus		NC086823	16023bp	Hymenopodidae	Hymenopodinae	x		
Amantis_wuzhishana		NC086818	15700bp	Gonypetidae	Iridopteryginae	x		
Tenodera_sp.		OM202552	14776bp	Mantidae	Tenoderinae	PARTIAL		
Gonypeta_sp.		OM177664	15475bp	Gonypetidae	Gonypetinae	x		
Acromantis_japonica		OM202568	15573bp	Hymenopodidae	Acromantinae	x		
Theopropus_sp.		OM202564	15482bp	Hymenopodidae	Hymenopodinae	x		
Miromantis_sp.		OM202562	15186bp	Nanomantidae	Tropidomantinae	x		
Sinomiopteryx_sp.		OM202561	15739bp	Thespidae	Pseudomiopteriginae	x		
Anaxarcha_graminea		OM202555	15941bp	Hymenopodidae	Acromantinae	x		
Anaxarcha_sp.		OM202554	15956bp	Hymenopodidae	Acromantinae	x		
Callibia_diana		NC077476	15820bp	Acanthopidae	Acontistinae	x		
Haania_vitalisi		KX434845	13628bp	Haaniidae	Haaniinae	PARTIAL		
Metallyticus_sp.		KX434871	15491bp	Metallyticidae		x		
Parymenopus_davisoni		KX434870	15588bp	Hymenopodidae	Hymenopodinae	x		
Prohierodula_picta		KX434855	15565bp	Mantidae	Tenoderinae	x		
Hierodula_longa		OK542392	16603bp	Mantidae	Hierodulinae	x		
Phyllothelys_shaanxiense		KR091863	15586bp	Hymenopodidae	Phyllothelyinae	x		
Mantis_religiosa	KU201317	NC030265	15534bp	Mantidae	Mantinae	x		
Hierodula_patellifera	KX611803	NC034282	16999bp	Mantidae	Hierodulinae	x		
Sphodromantis_lineola	KY689123	NC037204	15475bp	Mantidae	Tenoderinae	x		
Statilia_maculata	OK542390	NC065760	15747bp	Mantidae	Mantinae	x		
